Date,X187220.KQ.Close
2023-01-02,4755
2023-01-03,4680
2023-01-04,4925
2023-01-05,4995
2023-01-06,5010
2023-01-09,5100
2023-01-10,4955
2023-01-11,5220
2023-01-12,4950
2023-01-13,4955
2023-01-16,5050
2023-01-17,4955
2023-01-18,4940
2023-01-19,4760
2023-01-20,4785
2023-01-25,4925
2023-01-26,4900
2023-01-27,4815
2023-01-30,4820
2023-01-31,4790
2023-02-01,4800
2023-02-02,4890
2023-02-03,4920
2023-02-06,4960
2023-02-07,5010
2023-02-08,5070
2023-02-09,5090
2023-02-10,4835
2023-02-13,4860
2023-02-14,4895
2023-02-15,4750
2023-02-16,4755
2023-02-17,4630
2023-02-20,4750
2023-02-21,4620
2023-02-22,4435
2023-02-23,4475
2023-02-24,4355
2023-02-27,4430
2023-02-28,4510
2023-03-02,4410
2023-03-03,4430
2023-03-06,4530
2023-03-07,4480
2023-03-08,4445
2023-03-09,4410
2023-03-10,4290
2023-03-13,4285
2023-03-14,4000
2023-03-15,4010
2023-03-16,3990
2023-03-17,4160
2023-03-20,4240
2023-03-21,4145
2023-03-22,4150
2023-03-23,4100
2023-03-24,4270
2023-03-27,4370
2023-03-28,4315
2023-03-29,4330
2023-03-30,4240
2023-03-31,4280
2023-04-03,4480
2023-04-04,4525
2023-04-05,4500
2023-04-06,4360
2023-04-07,4395
2023-04-10,4305
2023-04-11,4390
2023-04-12,4395
2023-04-13,4580
2023-04-14,4550
2023-04-17,4610
2023-04-18,4580
2023-04-19,4505
2023-04-20,4495
2023-04-21,4305
2023-04-24,4315
2023-04-25,4200
2023-04-26,4120
2023-04-27,4160
2023-04-28,4030
2023-05-02,4160
2023-05-03,4210
2023-05-04,4200
2023-05-08,4330
2023-05-09,4320
2023-05-10,4305
2023-05-11,4340
2023-05-12,4250
2023-05-15,4150
2023-05-16,4095
2023-05-17,4180
2023-05-18,4225
2023-05-19,4270
2023-05-22,4295
2023-05-23,4320
2023-05-24,4335
2023-05-25,4325
2023-05-26,4235
2023-05-30,4350
2023-05-31,4375
2023-06-01,4320
2023-06-02,4415
2023-06-05,4455
2023-06-07,4440
2023-06-08,4370
2023-06-09,4310
2023-06-12,4260
2023-06-13,4245
2023-06-14,4175
2023-06-15,4250
2023-06-16,4250
2023-06-19,4295
2023-06-20,5580
2023-06-21,5700
2023-06-22,5450
2023-06-23,5290
2023-06-26,5440
2023-06-27,5320
2023-06-28,5280
2023-06-29,5630
2023-06-30,5360
2023-07-03,5410
2023-07-04,5520
2023-07-05,5310
2023-07-06,5120
2023-07-07,5210
2023-07-10,4870
2023-07-11,5000
2023-07-12,4860
2023-07-13,4875
2023-07-14,4690
2023-07-17,4820
2023-07-18,4845
2023-07-19,4765
2023-07-20,4780
2023-07-21,4845
2023-07-24,4585
2023-07-25,4530
2023-07-26,4185
2023-07-27,4280
2023-07-28,4280
2023-07-31,4380
2023-08-01,4510
2023-08-02,4470
2023-08-03,4415
2023-08-04,4555
2023-08-07,4525
2023-08-08,4375
2023-08-09,4500
2023-08-10,4520
2023-08-11,4510
2023-08-14,4395
2023-08-16,4240
2023-08-17,4185
2023-08-18,4095
2023-08-21,4170
2023-08-22,4130
2023-08-23,4430
2023-08-24,4515
2023-08-25,4700
2023-08-28,4780
2023-08-29,4790
2023-08-30,4755
2023-08-31,4790
2023-09-01,4565
2023-09-04,4620
2023-09-05,4500
2023-09-06,4380
2023-09-07,4375
2023-09-08,4585
2023-09-11,4380
2023-09-12,4200
2023-09-13,4170
2023-09-14,4120
2023-09-15,4305
2023-09-18,4210
2023-09-19,4130
2023-09-20,4100
2023-09-21,4010
2023-09-22,3975
2023-09-25,3890
2023-09-26,3785
2023-09-27,3830
2023-10-04,3640
2023-10-05,3660
2023-10-06,3760
2023-10-10,3950
2023-10-11,3840
2023-10-12,3880
2023-10-13,3750
2023-10-16,4160
2023-10-17,4125
2023-10-18,5300
2023-10-19,4965
2023-10-20,4885
2023-10-23,4935
2023-10-24,4500
2023-10-25,4385
2023-10-26,3900
2023-10-27,3775
2023-10-30,3860
2023-10-31,3685
2023-11-01,3660
2023-11-02,3790
2023-11-03,3875
2023-11-06,3955
2023-11-07,3800
2023-11-08,3730
2023-11-09,3725
2023-11-10,3740
2023-11-13,3670
2023-11-14,3775
2023-11-15,3820
2023-11-16,4075
2023-11-17,3850
2023-11-20,5000
2023-11-21,6500
2023-11-22,6510
2023-11-23,6640
2023-11-24,6540
2023-11-27,6130
2023-11-28,6310
2023-11-29,6200
2023-11-30,6350
