Date,X173130.KQ.Close
2023-01-02,8560
2023-01-03,8820
2023-01-04,8780
2023-01-05,8500
2023-01-06,8660
2023-01-09,8710
2023-01-10,8590
2023-01-11,8590
2023-01-12,8150
2023-01-13,8040
2023-01-16,8140
2023-01-17,8050
2023-01-18,7950
2023-01-19,7850
2023-01-20,7850
2023-01-25,8070
2023-01-26,8130
2023-01-27,8090
2023-01-30,7920
2023-01-31,7860
2023-02-01,7960
2023-02-02,7970
2023-02-03,8360
2023-02-06,8450
2023-02-07,8440
2023-02-08,8410
2023-02-09,8270
2023-02-10,7950
2023-02-13,8030
2023-02-14,8100
2023-02-15,8630
2023-02-16,8300
2023-02-17,8100
2023-02-20,8430
2023-02-21,8420
2023-02-22,8430
2023-02-23,8280
2023-02-24,8370
2023-02-27,8320
2023-02-28,8590
2023-03-02,8820
2023-03-03,8830
2023-03-06,9100
2023-03-07,8790
2023-03-08,8960
2023-03-09,10000
2023-03-10,9660
2023-03-13,9360
2023-03-14,8700
2023-03-15,8970
2023-03-16,8810
2023-03-17,9140
2023-03-20,9100
2023-03-21,8710
2023-03-22,8710
2023-03-23,8510
2023-03-24,8490
2023-03-27,9040
2023-03-28,9390
2023-03-29,9460
2023-03-30,9150
2023-03-31,9000
2023-04-03,9150
2023-04-04,9150
2023-04-05,9550
2023-04-06,9440
2023-04-07,9230
2023-04-10,9100
2023-04-11,9430
2023-04-12,9770
2023-04-13,12700
2023-04-14,13750
2023-04-17,13460
2023-04-18,12790
2023-04-19,12950
2023-04-20,12260
2023-04-21,12400
2023-04-24,13050
2023-04-25,13030
2023-04-26,12460
2023-04-27,12520
2023-04-28,14390
2023-05-02,13410
2023-05-03,13410
2023-05-04,14510
2023-05-08,14510
2023-05-09,14040
2023-05-10,14930
2023-05-11,14870
2023-05-12,14430
2023-05-15,14380
2023-05-16,13640
2023-05-17,13350
2023-05-18,13300
2023-05-19,13460
2023-05-22,13340
2023-05-23,13340
2023-05-24,13310
2023-05-25,13950
2023-05-26,14370
2023-05-30,14210
2023-05-31,13940
2023-06-01,13960
2023-06-02,14640
2023-06-05,14380
2023-06-07,14500
2023-06-08,14300
2023-06-09,14000
2023-06-12,13870
2023-06-13,14090
2023-06-14,13870
2023-06-15,14300
2023-06-16,13900
2023-06-19,12910
2023-06-20,12960
2023-06-21,12600
2023-06-22,12190
2023-06-23,12210
2023-06-26,12910
2023-06-27,12750
2023-06-28,13050
2023-06-29,12970
2023-06-30,12650
2023-07-03,12590
2023-07-04,12820
2023-07-05,12520
2023-07-06,12520
2023-07-07,12740
2023-07-10,12810
2023-07-11,12800
2023-07-12,12940
2023-07-13,11340
2023-07-14,10580
2023-07-17,10880
2023-07-18,10500
2023-07-19,10340
2023-07-20,10890
2023-07-21,11040
2023-07-24,10620
2023-07-25,10400
2023-07-26,10270
2023-07-27,10520
2023-07-28,11240
2023-07-31,11000
2023-08-01,10970
2023-08-02,10830
2023-08-03,10890
2023-08-04,13010
2023-08-07,13770
2023-08-08,13340
2023-08-09,14060
2023-08-10,14060
2023-08-11,14250
2023-08-14,14410
2023-08-16,14690
2023-08-17,13730
2023-08-18,14630
2023-08-21,17090
2023-08-22,16650
2023-08-23,18500
2023-08-24,18550
2023-08-25,16810
2023-08-28,18470
2023-08-29,17990
2023-08-30,17790
2023-08-31,17290
2023-09-01,17280
2023-09-04,17050
2023-09-05,17090
2023-09-06,15770
2023-09-07,15540
2023-09-08,15380
2023-09-11,16860
2023-09-12,15700
2023-09-13,14960
2023-09-14,15150
2023-09-15,15210
2023-09-18,15910
2023-09-19,14920
2023-09-20,16000
2023-09-21,15600
2023-09-22,14920
2023-09-25,15250
2023-09-26,14480
2023-09-27,13990
2023-10-04,12920
2023-10-05,12470
2023-10-06,13200
2023-10-10,13010
2023-10-11,13440
2023-10-12,14380
2023-10-13,14010
2023-10-16,13970
2023-10-17,14380
2023-10-18,14250
2023-10-19,14850
2023-10-20,15750
2023-10-23,15290
2023-10-24,16110
2023-10-25,16000
2023-10-26,15270
2023-10-27,14660
2023-10-30,15610
2023-10-31,15370
2023-11-01,16020
2023-11-02,15950
2023-11-03,16020
2023-11-06,15200
2023-11-07,16570
2023-11-08,16210
2023-11-09,15960
2023-11-10,16170
2023-11-13,16330
2023-11-14,16450
2023-11-15,16940
2023-11-16,16990
2023-11-17,16660
2023-11-20,17300
2023-11-21,17010
2023-11-22,17300
2023-11-23,17040
2023-11-24,16470
2023-11-27,15310
2023-11-28,15570
2023-11-29,15000
2023-11-30,15750
