Date,X004105.KS.Close
2023-01-02,2325
2023-01-03,2295
2023-01-04,2265
2023-01-05,2290
2023-01-06,2315
2023-01-09,2360
2023-01-10,2430
2023-01-11,2405
2023-01-12,2405
2023-01-13,2440
2023-01-16,2435
2023-01-17,3165
2023-01-18,3895
2023-01-19,3650
2023-01-20,3330
2023-01-25,3240
2023-01-26,3250
2023-01-27,3290
2023-01-30,2975
2023-01-31,2855
2023-02-01,2940
2023-02-02,2890
2023-02-03,2910
2023-02-06,2830
2023-02-07,2835
2023-02-08,2820
2023-02-09,2760
2023-02-10,3585
2023-02-13,3240
2023-02-14,3200
2023-02-15,3450
2023-02-16,3495
2023-02-17,3480
2023-02-20,3445
2023-02-21,3490
2023-02-22,3350
2023-02-23,3390
2023-02-24,3255
2023-02-27,3190
2023-02-28,3490
2023-03-02,3705
2023-03-03,3695
2023-03-06,3650
2023-03-07,3515
2023-03-08,3510
2023-03-09,3640
2023-03-10,3520
2023-03-13,3315
2023-03-14,3100
2023-03-15,3245
2023-03-16,3200
2023-03-17,3315
2023-03-20,3445
2023-03-21,3350
2023-03-22,3245
2023-03-23,3195
2023-03-24,3275
2023-03-27,3330
2023-03-28,3430
2023-03-29,3350
2023-03-30,3400
2023-03-31,3300
2023-04-03,3480
2023-04-04,3485
2023-04-05,3525
2023-04-06,3470
2023-04-07,3425
2023-04-10,3365
2023-04-11,3460
2023-04-12,3465
2023-04-13,4050
2023-04-14,3855
2023-04-17,3900
2023-04-18,3810
2023-04-19,3815
2023-04-20,3870
2023-04-21,3960
2023-04-24,3900
2023-04-25,3860
2023-04-26,3800
2023-04-27,3710
2023-04-28,3740
2023-05-02,3700
2023-05-03,3600
2023-05-04,3660
2023-05-08,3720
2023-05-09,3695
2023-05-10,3765
2023-05-11,3705
2023-05-12,3710
2023-05-15,3560
2023-05-16,3460
2023-05-17,3470
2023-05-18,3530
2023-05-19,3485
2023-05-22,3445
2023-05-23,3375
2023-05-24,3325
2023-05-25,3350
2023-05-26,3350
2023-05-30,3300
2023-05-31,3285
2023-06-01,3280
2023-06-02,3320
2023-06-05,3290
2023-06-07,3300
2023-06-08,3315
2023-06-09,3390
2023-06-12,3445
2023-06-13,3390
2023-06-14,3345
2023-06-15,3365
2023-06-16,3305
2023-06-19,3225
2023-06-20,3190
2023-06-21,3195
2023-06-22,3140
2023-06-23,3095
2023-06-26,3115
2023-06-27,3130
2023-06-28,3160
2023-06-29,3135
2023-06-30,3175
2023-07-03,3060
2023-07-04,3100
2023-07-05,3030
2023-07-06,2845
2023-07-07,2905
2023-07-10,2920
2023-07-11,2940
2023-07-12,2930
2023-07-13,2855
2023-07-14,2855
2023-07-17,3000
2023-07-18,2990
2023-07-19,2985
2023-07-20,3000
2023-07-21,3030
2023-07-24,2860
2023-07-25,2720
2023-07-26,2380
2023-07-27,2460
2023-07-28,2605
2023-07-31,2700
2023-08-01,2700
2023-08-02,2690
2023-08-03,2760
2023-08-04,2960
2023-08-07,3125
2023-08-08,3100
2023-08-09,3090
2023-08-10,3030
2023-08-11,3185
2023-08-14,3230
2023-08-16,3370
2023-08-17,3365
2023-08-18,3475
2023-08-21,3625
2023-08-22,3490
2023-08-23,4230
2023-08-24,4300
2023-08-25,5590
2023-08-28,6660
2023-08-29,6120
2023-08-30,6200
2023-08-31,5780
2023-09-01,6000
2023-09-04,6230
2023-09-05,6200
2023-09-06,6500
2023-09-07,5650
2023-09-08,6000
2023-09-11,6240
2023-09-12,6240
2023-09-13,6660
2023-09-14,6370
2023-09-15,5980
2023-09-18,5910
2023-09-19,5320
2023-09-20,4990
2023-09-21,4795
2023-09-22,4785
2023-09-25,5100
2023-09-26,4935
2023-09-27,4500
2023-10-04,4460
2023-10-05,5100
2023-10-06,5510
2023-10-10,5440
2023-10-11,5490
2023-10-12,5940
2023-10-13,5800
2023-10-16,5740
2023-10-17,5900
2023-10-18,5970
2023-10-19,5990
2023-10-20,6110
2023-10-23,5120
2023-10-24,5470
2023-10-25,5340
2023-10-26,5160
2023-10-27,4965
2023-10-30,5240
2023-10-31,5010
2023-11-01,5100
2023-11-02,4935
2023-11-03,4830
2023-11-06,4525
2023-11-07,4910
2023-11-08,4680
2023-11-09,4730
2023-11-10,4780
2023-11-13,5030
2023-11-14,5350
2023-11-15,5650
2023-11-16,5800
2023-11-17,5600
2023-11-20,5810
2023-11-21,5500
2023-11-22,5490
2023-11-23,5280
2023-11-24,5020
2023-11-27,4480
2023-11-28,4795
2023-11-29,4770
2023-11-30,6200
